epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.846,1.39313,3.12633,0.00996,0.27026,0.38279,0.21898,0.1358,1.60484,4.30346,0.01278,0.000554604,0.000554604,0.000554604
2,345.88,1.6871,2.17276,0.01331,0.46211,0.52684,0.46057,0.24813,1.61967,2.26856,0.01368,0.00109928,0.00109928,0.00109928
3,505.359,1.77029,2.15512,0.01412,0.58398,0.53686,0.54294,0.29994,1.56327,2.00272,0.01271,0.00163295,0.00163295,0.00163295
4,665.983,1.7156,2.07859,0.013,0.81178,0.28445,0.39599,0.23232,1.61519,2.08386,0.013,0.00161749,0.00161749,0.00161749
5,822.405,1.70142,1.99694,0.01367,0.59428,0.52442,0.53673,0.30082,1.56855,2.03887,0.01335,0.00160099,0.00160099,0.00160099
6,980.042,1.62283,1.92911,0.0123,0.61417,0.54686,0.56884,0.31583,1.54088,1.74151,0.01189,0.00158448,0.00158448,0.00158448
7,1137.64,1.60104,1.81472,0.01205,0.63889,0.59738,0.63224,0.34859,1.52729,1.65112,0.01253,0.00156798,0.00156798,0.00156798
8,1292.77,1.57898,1.80076,0.01195,0.54702,0.60296,0.60133,0.3566,1.42743,1.78309,0.0108,0.00155148,0.00155148,0.00155148
9,1450.16,1.59181,1.72256,0.01185,0.60236,0.61298,0.62126,0.35906,1.50864,1.85716,0.01211,0.00153497,0.00153497,0.00153497
10,1604.91,1.56009,1.67806,0.01155,0.63419,0.6013,0.62099,0.36372,1.47254,1.64082,0.01124,0.00151847,0.00151847,0.00151847
11,1762.53,1.54523,1.62835,0.01204,0.6436,0.62001,0.62029,0.36242,1.42838,1.78284,0.01129,0.00150197,0.00150197,0.00150197
12,1918.19,1.52953,1.61186,0.01107,0.65006,0.63482,0.66753,0.38561,1.45358,1.56924,0.01069,0.00148546,0.00148546,0.00148546
13,2077.11,1.48376,1.47861,0.01107,0.71769,0.63647,0.69958,0.43164,1.35616,1.379,0.01038,0.00146896,0.00146896,0.00146896
14,2237.87,1.48747,1.49938,0.01128,0.67917,0.63123,0.6714,0.4155,1.35292,1.50478,0.01004,0.00145246,0.00145246,0.00145246
15,2396.67,1.45092,1.4285,0.01097,0.74115,0.63414,0.70201,0.43672,1.32596,1.45647,0.00999,0.00143595,0.00143595,0.00143595
16,2557.33,1.44262,1.42064,0.01064,0.7157,0.62378,0.68463,0.40997,1.3901,1.44362,0.01003,0.00141945,0.00141945,0.00141945
17,2719.3,1.43543,1.38738,0.01028,0.66237,0.61108,0.66589,0.39834,1.39172,1.44117,0.01074,0.00140295,0.00140295,0.00140295
18,2874.82,1.43496,1.4089,0.01016,0.69004,0.65031,0.69268,0.41462,1.31021,1.45139,0.00968,0.00138644,0.00138644,0.00138644
19,3031.74,1.41029,1.3456,0.01036,0.65826,0.68062,0.677,0.42268,1.3096,1.40096,0.00989,0.00136994,0.00136994,0.00136994
20,3186.93,1.39032,1.31043,0.00998,0.69344,0.65259,0.70307,0.45126,1.3138,1.32785,0.00974,0.00135344,0.00135344,0.00135344
21,3344.32,1.38226,1.28298,0.0101,0.72956,0.68103,0.72574,0.45413,1.32179,1.28365,0.01025,0.00133693,0.00133693,0.00133693
22,3500.82,1.38036,1.27247,0.01002,0.70304,0.68624,0.7389,0.47018,1.24203,1.22422,0.00908,0.00132043,0.00132043,0.00132043
23,3662.67,1.36796,1.24908,0.00997,0.72973,0.71488,0.75575,0.47071,1.36265,1.384,0.0103,0.00130393,0.00130393,0.00130393
24,3821.48,1.36333,1.23993,0.00953,0.75577,0.70271,0.75723,0.49281,1.27605,1.11444,0.00937,0.00128742,0.00128742,0.00128742
25,3984.45,1.36783,1.22215,0.00974,0.70959,0.69353,0.7381,0.47971,1.29066,1.25321,0.00968,0.00127092,0.00127092,0.00127092
26,4143.25,1.34701,1.18667,0.00969,0.72573,0.69897,0.75575,0.50456,1.22144,1.26089,0.00875,0.00125442,0.00125442,0.00125442
27,4304.76,1.3258,1.2367,0.00952,0.7274,0.6638,0.72409,0.4664,1.31546,1.26846,0.00998,0.00123791,0.00123791,0.00123791
28,4462.01,1.31111,1.20713,0.00934,0.73552,0.69282,0.74682,0.49056,1.26625,1.39066,0.00929,0.00122141,0.00122141,0.00122141
29,4622.32,1.34236,1.20721,0.00947,0.79732,0.71263,0.79733,0.51796,1.25342,1.09766,0.00935,0.00120491,0.00120491,0.00120491
30,4778.06,1.32093,1.17194,0.00903,0.72213,0.70028,0.73734,0.47635,1.26907,1.21978,0.00896,0.0011884,0.0011884,0.0011884
31,4935.4,1.33062,1.14025,0.00929,0.77756,0.60898,0.71908,0.46503,1.24996,1.3407,0.00899,0.0011719,0.0011719,0.0011719
32,5093.29,1.30845,1.09987,0.0091,0.77429,0.73538,0.78669,0.51771,1.22874,1.22537,0.00914,0.0011554,0.0011554,0.0011554
33,5247.93,1.29664,1.12405,0.00934,0.74735,0.72243,0.77011,0.50219,1.25439,1.11851,0.00926,0.00113889,0.00113889,0.00113889
34,5404.59,1.2725,1.12242,0.00912,0.77038,0.74836,0.802,0.52466,1.18739,1.12066,0.00841,0.00112239,0.00112239,0.00112239
35,5558.84,1.26634,1.09371,0.00881,0.74224,0.74338,0.78563,0.52072,1.23231,1.13544,0.00857,0.00110589,0.00110589,0.00110589
36,5716.55,1.24574,1.06191,0.00857,0.74007,0.73005,0.78391,0.53025,1.20928,1.06258,0.0087,0.00108938,0.00108938,0.00108938
37,5871.2,1.27106,1.10781,0.00886,0.74162,0.72259,0.77504,0.51846,1.20747,1.15061,0.0086,0.00107288,0.00107288,0.00107288
38,6028.09,1.27127,1.07239,0.00902,0.75918,0.74948,0.7967,0.52621,1.22244,1.16412,0.00881,0.00105638,0.00105638,0.00105638
39,6182.6,1.247,1.03242,0.00848,0.76352,0.7366,0.78857,0.52858,1.1989,1.05928,0.00812,0.00103987,0.00103987,0.00103987
40,6337.16,1.25822,1.09827,0.0085,0.72995,0.70949,0.74042,0.48811,1.22819,1.26133,0.00852,0.00102337,0.00102337,0.00102337
41,6490.55,1.20647,1.0252,0.00817,0.79497,0.7317,0.81122,0.54789,1.16364,1.04653,0.00818,0.00100687,0.00100687,0.00100687
42,6645.32,1.23723,1.01283,0.0085,0.78039,0.74689,0.79982,0.54003,1.18677,1.122,0.00827,0.000990365,0.000990365,0.000990365
43,6805.43,1.2499,1.00332,0.00854,0.77547,0.74595,0.81089,0.54398,1.19821,0.9771,0.00869,0.000973861,0.000973861,0.000973861
44,6962.4,1.23658,1.0357,0.00831,0.77992,0.72179,0.78716,0.52357,1.17808,1.0415,0.00852,0.000957358,0.000957358,0.000957358
45,7117.63,1.2213,0.98186,0.00821,0.76874,0.73639,0.80131,0.54416,1.15732,0.98576,0.00814,0.000940855,0.000940855,0.000940855
46,7275.74,1.21033,0.99052,0.00802,0.78575,0.75921,0.82466,0.55973,1.13782,1.04827,0.00791,0.000924352,0.000924352,0.000924352
47,7430.88,1.20342,0.98174,0.00819,0.78113,0.73936,0.81395,0.55577,1.13865,1.09977,0.00783,0.000907848,0.000907848,0.000907848
48,7587.28,1.19481,0.95373,0.00808,0.79437,0.74821,0.82475,0.5633,1.15743,1.05261,0.00808,0.000891345,0.000891345,0.000891345
49,7741.82,1.19113,0.91457,0.00783,0.79172,0.74427,0.81881,0.55709,1.18328,1.03232,0.00825,0.000874842,0.000874842,0.000874842
50,7898.19,1.18651,0.934,0.00788,0.83599,0.70645,0.81451,0.5549,1.16427,1.13805,0.00815,0.000858338,0.000858338,0.000858338
51,8051.75,1.17437,0.91936,0.00758,0.83009,0.72227,0.81735,0.56451,1.16262,1.0943,0.00802,0.000841835,0.000841835,0.000841835
52,8208.51,1.16377,0.88794,0.00763,0.78195,0.76501,0.82845,0.56937,1.13584,1.07756,0.00775,0.000825332,0.000825332,0.000825332
53,8361.93,1.16963,0.89763,0.00795,0.81177,0.76635,0.83086,0.5626,1.15836,0.95255,0.00768,0.000808828,0.000808828,0.000808828
54,8519.22,1.14611,0.88199,0.00751,0.81584,0.74496,0.83208,0.57271,1.15111,0.97397,0.00786,0.000792325,0.000792325,0.000792325
55,8672.86,1.14906,0.89774,0.00728,0.80056,0.7695,0.83753,0.57288,1.16416,1.01759,0.00806,0.000775822,0.000775822,0.000775822
56,8826.48,1.15217,0.84065,0.00733,0.81215,0.76183,0.8419,0.57745,1.11911,0.97862,0.00757,0.000759318,0.000759318,0.000759318
57,8983,1.15116,0.83856,0.00751,0.75941,0.7647,0.82387,0.57268,1.13777,1.03279,0.0076,0.000742815,0.000742815,0.000742815
58,9136.4,1.13971,0.86809,0.00755,0.81186,0.77941,0.84552,0.58878,1.14066,0.93311,0.00775,0.000726312,0.000726312,0.000726312
59,9291.92,1.10887,0.83614,0.0073,0.78698,0.77025,0.83848,0.5885,1.11863,0.98597,0.00753,0.000709809,0.000709809,0.000709809
60,9449.27,1.12181,0.81473,0.00733,0.80456,0.75416,0.83219,0.57784,1.13686,0.99496,0.00756,0.000693305,0.000693305,0.000693305
61,9604.23,1.11921,0.87195,0.00748,0.83587,0.76127,0.84319,0.5891,1.1238,0.98217,0.00759,0.000676802,0.000676802,0.000676802
62,9763.78,1.14502,0.8169,0.00738,0.8268,0.73564,0.82873,0.57859,1.13556,1.13156,0.00784,0.000660299,0.000660299,0.000660299
63,9936.27,1.11978,0.8035,0.00729,0.78911,0.77362,0.83497,0.58753,1.09665,0.95309,0.00724,0.000643795,0.000643795,0.000643795
64,10112.9,1.1246,0.81205,0.00732,0.83147,0.74027,0.83496,0.59015,1.09974,1.00638,0.00735,0.000627292,0.000627292,0.000627292
65,10292.7,1.10422,0.78997,0.007,0.81891,0.77506,0.84111,0.60191,1.09452,1.01017,0.00728,0.000610789,0.000610789,0.000610789
66,10474.3,1.08256,0.7649,0.00699,0.83302,0.76969,0.85051,0.61193,1.08682,0.92354,0.00719,0.000594286,0.000594286,0.000594286
67,10653.5,1.08015,0.76456,0.007,0.84195,0.77074,0.85441,0.61488,1.08019,0.974,0.00711,0.000577782,0.000577782,0.000577782
68,10831.3,1.08544,0.77638,0.00706,0.83336,0.75862,0.85558,0.60665,1.0766,1.03496,0.00685,0.000561279,0.000561279,0.000561279
69,11005.6,1.0782,0.77307,0.00698,0.84997,0.77315,0.85188,0.60178,1.12194,0.93845,0.00747,0.000544776,0.000544776,0.000544776
70,11178.7,1.09132,0.75237,0.00687,0.81534,0.79064,0.85768,0.61321,1.09134,0.93412,0.00732,0.000528272,0.000528272,0.000528272
71,11355.8,1.05757,0.74012,0.00667,0.80606,0.79134,0.85367,0.6083,1.09539,0.98021,0.00742,0.000511769,0.000511769,0.000511769
72,11529.3,1.04547,0.73263,0.00647,0.8125,0.76711,0.8425,0.60848,1.08583,0.98696,0.00702,0.000495266,0.000495266,0.000495266
73,11707.2,1.07661,0.75558,0.00681,0.82291,0.7856,0.85527,0.60827,1.09934,0.92385,0.00747,0.000478762,0.000478762,0.000478762
74,11883.2,1.05539,0.72176,0.00669,0.83301,0.7783,0.85267,0.607,1.09246,0.94229,0.00731,0.000462259,0.000462259,0.000462259
75,12059.9,1.05011,0.69914,0.00657,0.84137,0.78703,0.85547,0.62449,1.09615,0.93321,0.00718,0.000445756,0.000445756,0.000445756
76,12239.2,1.0324,0.69044,0.00645,0.8389,0.78335,0.85908,0.62068,1.09153,0.91959,0.00724,0.000429253,0.000429253,0.000429253
77,12415.9,1.03381,0.7047,0.00689,0.81302,0.81104,0.86349,0.61961,1.08829,0.90793,0.0072,0.000412749,0.000412749,0.000412749
78,12594.7,1.01716,0.66578,0.00647,0.8069,0.78417,0.85089,0.6191,1.09413,0.92685,0.00714,0.000396246,0.000396246,0.000396246
79,12769.7,1.03772,0.68156,0.00634,0.82047,0.79607,0.85927,0.63036,1.08133,0.95181,0.00702,0.000379743,0.000379743,0.000379743
80,12945.5,1.02781,0.68911,0.00643,0.82955,0.79022,0.86182,0.63119,1.07959,0.89491,0.0074,0.000363239,0.000363239,0.000363239
81,13121.1,1.02635,0.68523,0.00627,0.84622,0.79077,0.86978,0.62867,1.09225,0.93705,0.00731,0.000346736,0.000346736,0.000346736
82,13301.6,1.02613,0.68766,0.0064,0.84433,0.77924,0.86293,0.63268,1.06214,0.89175,0.00699,0.000330233,0.000330233,0.000330233
