epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.509,1.38965,3.19568,0.00998,0.46733,0.40348,0.39383,0.22172,1.4764,2.15265,0.0115,0.000554604,0.000554604,0.000554604
2,280.226,1.68541,2.27749,0.01326,0.5213,0.47775,0.48493,0.23601,1.58822,2.5481,0.01286,0.00109928,0.00109928,0.00109928
3,409.669,1.74531,2.16782,0.01361,0.5072,0.53282,0.50157,0.26397,1.69201,2.11431,0.01394,0.00163295,0.00163295,0.00163295
4,540.732,1.7263,2.12506,0.01314,0.46923,0.4616,0.44597,0.24612,1.60074,1.93664,0.01309,0.00161749,0.00161749,0.00161749
5,669.618,1.65361,2.06722,0.01291,0.56983,0.49976,0.52322,0.27327,1.61738,2.17604,0.01318,0.00160099,0.00160099,0.00160099
6,799.553,1.63362,1.91955,0.01237,0.60264,0.52684,0.55127,0.31339,1.52217,1.7379,0.012,0.00158448,0.00158448,0.00158448
7,929.884,1.60696,1.80801,0.01214,0.60554,0.51936,0.56159,0.31698,1.54828,1.75996,0.01172,0.00156798,0.00156798,0.00156798
8,1059.25,1.58357,1.72237,0.01183,0.57877,0.56902,0.60214,0.33572,1.52041,1.80801,0.01178,0.00155148,0.00155148,0.00155148
9,1188.32,1.58982,1.77264,0.01182,0.61305,0.6275,0.62479,0.36256,1.43698,1.63087,0.01146,0.00153497,0.00153497,0.00153497
10,1317.15,1.5538,1.69554,0.01143,0.64674,0.6027,0.6177,0.36295,1.4368,1.63187,0.0116,0.00151847,0.00151847,0.00151847
11,1446.6,1.5136,1.65562,0.01164,0.66461,0.65205,0.66757,0.38195,1.45593,1.70723,0.01177,0.00150197,0.00150197,0.00150197
12,1575.59,1.53365,1.59407,0.01103,0.601,0.6179,0.6222,0.34529,1.44336,1.87563,0.01095,0.00148546,0.00148546,0.00148546
13,1702.72,1.51024,1.5203,0.0113,0.6856,0.65818,0.70507,0.42788,1.39331,1.43986,0.0108,0.00146896,0.00146896,0.00146896
14,1832.41,1.49059,1.5327,0.01137,0.65318,0.5987,0.64089,0.37751,1.38776,2.02346,0.01055,0.00145246,0.00145246,0.00145246
15,1963.72,1.45704,1.46042,0.01079,0.67929,0.64028,0.68039,0.41482,1.35415,1.48905,0.0104,0.00143595,0.00143595,0.00143595
16,2095.1,1.47172,1.49633,0.01087,0.68479,0.62245,0.68314,0.40499,1.40745,1.60288,0.0107,0.00141945,0.00141945,0.00141945
17,2225.4,1.44757,1.44256,0.01029,0.68268,0.63933,0.69459,0.40891,1.3858,1.39746,0.01033,0.00140295,0.00140295,0.00140295
18,2356.55,1.44866,1.44226,0.01031,0.64727,0.63984,0.68094,0.41552,1.33346,1.48324,0.01019,0.00138644,0.00138644,0.00138644
19,2488.13,1.40085,1.35344,0.01027,0.71189,0.66623,0.71717,0.43832,1.29545,1.42317,0.00951,0.00136994,0.00136994,0.00136994
20,2619.26,1.39666,1.3482,0.0101,0.71452,0.6565,0.71424,0.43375,1.33552,1.28995,0.01014,0.00135344,0.00135344,0.00135344
21,2750.15,1.39129,1.31156,0.0102,0.73408,0.65165,0.71757,0.44379,1.30078,1.43575,0.01002,0.00133693,0.00133693,0.00133693
22,2879.67,1.3939,1.31981,0.00997,0.72603,0.67246,0.74055,0.47298,1.29845,1.36522,0.00962,0.00132043,0.00132043,0.00132043
23,3011.03,1.37488,1.28518,0.00984,0.73997,0.69795,0.76051,0.46552,1.32145,1.29288,0.00978,0.00130393,0.00130393,0.00130393
24,3143.21,1.3859,1.26315,0.00953,0.6958,0.6852,0.72313,0.46455,1.29835,1.37698,0.00917,0.00128742,0.00128742,0.00128742
25,3273.62,1.36694,1.27448,0.0095,0.75141,0.681,0.74066,0.47656,1.28248,1.22908,0.00927,0.00127092,0.00127092,0.00127092
26,3406.38,1.34032,1.21102,0.00955,0.75986,0.72211,0.77807,0.50198,1.28749,1.23121,0.00921,0.00125442,0.00125442,0.00125442
