epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.82,1.32657,4.34658,0.00846,0.50075,0.4372,0.42617,0.26095,1.23516,3.57307,0.00871,0.000551425,0.000551425,0.000551425
2,92.0296,1.37067,3.01634,0.00906,0.57566,0.40917,0.43803,0.26983,1.40764,2.66361,0.01101,0.00109613,0.00109613,0.00109613
3,126.036,1.42951,2.39364,0.00954,0.58142,0.59478,0.58966,0.34273,1.33055,1.84224,0.01004,0.00162984,0.00162984,0.00162984
4,160.418,1.43075,2.0264,0.00991,0.46552,0.37283,0.37136,0.21508,1.44487,3.32277,0.01127,0.00161749,0.00161749,0.00161749
5,195.902,1.44115,1.82814,0.00962,0.62058,0.60039,0.61918,0.3795,1.31682,1.82886,0.00977,0.00160099,0.00160099,0.00160099
6,230.187,1.44456,1.71924,0.00966,0.66052,0.59364,0.642,0.38167,1.44119,1.51577,0.01086,0.00158448,0.00158448,0.00158448
7,264.996,1.38926,1.51337,0.00926,0.60609,0.62638,0.61035,0.37213,1.34001,1.6801,0.01035,0.00156798,0.00156798,0.00156798
8,299.099,1.41744,1.5082,0.00919,0.65951,0.66382,0.69272,0.41654,1.38193,1.37484,0.01035,0.00155148,0.00155148,0.00155148
9,333.919,1.39862,1.42959,0.00939,0.64822,0.63628,0.67141,0.41175,1.36829,1.46976,0.01063,0.00153497,0.00153497,0.00153497
10,367.748,1.38897,1.3877,0.0092,0.6715,0.65481,0.69269,0.44398,1.28111,1.42602,0.00949,0.00151847,0.00151847,0.00151847
11,403.733,1.34661,1.33953,0.00924,0.68263,0.6535,0.70105,0.44024,1.29376,1.43589,0.00963,0.00150197,0.00150197,0.00150197
12,439.356,1.38004,1.33667,0.0092,0.67774,0.69557,0.70824,0.43724,1.30966,1.41225,0.00957,0.00148546,0.00148546,0.00148546
13,474.76,1.37254,1.31535,0.00892,0.67159,0.66223,0.70706,0.44112,1.36317,1.42414,0.01055,0.00146896,0.00146896,0.00146896
14,510.347,1.34058,1.30318,0.00892,0.7232,0.69467,0.75311,0.46829,1.29953,1.24956,0.0097,0.00145246,0.00145246,0.00145246
15,545.372,1.33646,1.22931,0.0086,0.74188,0.65869,0.74394,0.47554,1.27635,1.26662,0.00905,0.00143595,0.00143595,0.00143595
16,580.724,1.32029,1.20242,0.00845,0.72949,0.71843,0.76126,0.47309,1.36038,1.20676,0.01025,0.00141945,0.00141945,0.00141945
17,615.942,1.34584,1.25133,0.00877,0.69357,0.66156,0.71092,0.4401,1.33742,1.48351,0.01036,0.00140295,0.00140295,0.00140295
18,650.89,1.35619,1.23553,0.00858,0.75894,0.69411,0.77164,0.49696,1.28917,1.22039,0.00937,0.00138644,0.00138644,0.00138644
19,686.878,1.31595,1.13443,0.00845,0.78795,0.71864,0.79005,0.51174,1.30384,1.23362,0.00929,0.00136994,0.00136994,0.00136994
20,722.051,1.31526,1.13643,0.00844,0.73156,0.73544,0.78629,0.52354,1.22698,1.09619,0.00864,0.00135344,0.00135344,0.00135344
21,755.872,1.31092,1.14588,0.00852,0.79083,0.71774,0.79206,0.52595,1.2391,1.15337,0.0091,0.00133693,0.00133693,0.00133693
22,791.754,1.29728,1.10785,0.00824,0.75883,0.70683,0.78009,0.51157,1.28169,1.29626,0.00907,0.00132043,0.00132043,0.00132043
23,826.429,1.3075,1.10369,0.00832,0.77802,0.7074,0.78194,0.51882,1.25892,1.21551,0.0089,0.00130393,0.00130393,0.00130393
24,861.479,1.28128,1.05336,0.00826,0.75167,0.7255,0.77136,0.50384,1.2364,1.30324,0.00874,0.00128742,0.00128742,0.00128742
25,896.423,1.29825,1.07395,0.00815,0.72753,0.74081,0.77641,0.50591,1.28051,1.44415,0.00917,0.00127092,0.00127092,0.00127092
26,931.779,1.28563,1.04663,0.00832,0.78838,0.74225,0.79623,0.52102,1.26657,1.1474,0.00921,0.00125442,0.00125442,0.00125442
27,967.72,1.2806,1.04081,0.0082,0.78471,0.74247,0.80249,0.54714,1.22095,1.103,0.00872,0.00123791,0.00123791,0.00123791
28,1002.53,1.25173,1.02404,0.00764,0.79115,0.68898,0.77442,0.51006,1.31687,1.22943,0.00981,0.00122141,0.00122141,0.00122141
29,1037.63,1.26296,1.00083,0.00812,0.75242,0.74394,0.79682,0.53558,1.23916,1.26769,0.00888,0.00120491,0.00120491,0.00120491
30,1072.83,1.27072,1.03511,0.00822,0.78689,0.74013,0.81324,0.55212,1.2665,1.02661,0.00894,0.0011884,0.0011884,0.0011884
31,1108.14,1.25619,1.008,0.00805,0.76589,0.75293,0.81045,0.55775,1.25892,1.15304,0.00916,0.0011719,0.0011719,0.0011719
32,1143.38,1.25468,0.97914,0.00776,0.80529,0.75528,0.83177,0.56242,1.21905,1.06541,0.00868,0.0011554,0.0011554,0.0011554
33,1178.62,1.25243,0.97726,0.00808,0.79301,0.72893,0.81248,0.55785,1.2182,1.12506,0.00844,0.00113889,0.00113889,0.00113889
34,1213.51,1.25068,0.94716,0.00777,0.7741,0.74444,0.81159,0.55921,1.20291,1.13388,0.00841,0.00112239,0.00112239,0.00112239
35,1248.68,1.26012,0.95792,0.00787,0.77028,0.75176,0.8062,0.55281,1.23379,1.19777,0.00817,0.00110589,0.00110589,0.00110589
36,1283.97,1.21858,0.93103,0.00766,0.83492,0.75267,0.84134,0.58113,1.20587,1.04798,0.00832,0.00108938,0.00108938,0.00108938
37,1319.21,1.24334,0.93596,0.00783,0.7866,0.771,0.8204,0.56638,1.23193,1.11293,0.00849,0.00107288,0.00107288,0.00107288
38,1354.26,1.21371,0.90428,0.00731,0.79516,0.748,0.80997,0.55801,1.24166,1.17901,0.00851,0.00105638,0.00105638,0.00105638
39,1388.75,1.20282,0.87916,0.00758,0.81296,0.74015,0.82121,0.56044,1.26723,1.07858,0.00907,0.00103987,0.00103987,0.00103987
40,1423.65,1.20468,0.91625,0.0076,0.8192,0.75122,0.83042,0.57672,1.2178,1.15672,0.00877,0.00102337,0.00102337,0.00102337
41,1459.61,1.20409,0.90451,0.00759,0.7956,0.78122,0.83332,0.57411,1.24068,1.09483,0.00891,0.00100687,0.00100687,0.00100687
42,1494.51,1.21393,0.87283,0.00754,0.80224,0.77081,0.82893,0.56572,1.22205,1.30716,0.00854,0.000990365,0.000990365,0.000990365
43,1528.91,1.19025,0.86848,0.00745,0.84029,0.75865,0.84553,0.58741,1.21043,0.99749,0.00865,0.000973861,0.000973861,0.000973861
44,1564.01,1.19272,0.86239,0.00717,0.80597,0.7949,0.85261,0.59741,1.21403,0.94634,0.00842,0.000957358,0.000957358,0.000957358
