epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0072,1.3814,3.45588,0.00917,0.48742,0.45199,0.42287,0.25444,1.40729,2.5085,0.01098,0.000551425,0.000551425,0.000551425
2,127.702,1.52061,1.87577,0.01069,0.54473,0.50011,0.50359,0.28648,1.47536,2.13493,0.01154,0.00109613,0.00109613,0.00109613
3,180.841,1.53341,1.82715,0.01075,0.47866,0.60206,0.51264,0.28958,1.50531,2.37069,0.01196,0.00162984,0.00162984,0.00162984
4,235.123,1.56747,1.73747,0.01146,0.4522,0.48659,0.42785,0.23609,1.5651,2.91231,0.01302,0.00161749,0.00161749,0.00161749
5,288.352,1.54914,1.6362,0.01088,0.6148,0.57213,0.60874,0.3486,1.45279,2.18339,0.01169,0.00160099,0.00160099,0.00160099
6,342.353,1.54623,1.595,0.01069,0.61847,0.57924,0.59809,0.34041,1.47312,1.9585,0.01154,0.00158448,0.00158448,0.00158448
7,396.763,1.46275,1.43544,0.01014,0.65901,0.61479,0.63332,0.37706,1.35154,1.55746,0.01055,0.00156798,0.00156798,0.00156798
8,449.923,1.46599,1.41317,0.00981,0.64941,0.6191,0.65497,0.37787,1.44008,1.5494,0.01127,0.00155148,0.00155148,0.00155148
9,503.937,1.4423,1.37632,0.01008,0.68267,0.66019,0.68327,0.42088,1.38032,1.41902,0.01018,0.00153497,0.00153497,0.00153497
10,556.505,1.43371,1.36244,0.00971,0.70988,0.61196,0.6894,0.43973,1.34487,1.3602,0.01007,0.00151847,0.00151847,0.00151847
11,610.588,1.41939,1.3248,0.00998,0.68216,0.7042,0.71965,0.44082,1.35062,1.36549,0.01042,0.00150197,0.00150197,0.00150197
12,665.016,1.41657,1.31023,0.00981,0.68513,0.6855,0.71918,0.44802,1.36759,1.42402,0.01062,0.00148546,0.00148546,0.00148546
13,718.083,1.42944,1.30485,0.0096,0.62331,0.63859,0.69714,0.42017,1.384,1.52794,0.0107,0.00146896,0.00146896,0.00146896
14,772.387,1.37109,1.27208,0.00938,0.69285,0.67389,0.71641,0.43583,1.36845,1.35761,0.01029,0.00145246,0.00145246,0.00145246
15,825.581,1.36619,1.20055,0.00906,0.74196,0.70872,0.74959,0.47656,1.30805,1.22974,0.01,0.00143595,0.00143595,0.00143595
16,880.304,1.37055,1.2273,0.00904,0.72445,0.69705,0.74322,0.47758,1.29613,1.31558,0.01012,0.00141945,0.00141945,0.00141945
17,934.77,1.36624,1.20579,0.00909,0.71155,0.69485,0.74227,0.47337,1.32757,1.33688,0.00994,0.00140295,0.00140295,0.00140295
18,988.007,1.37744,1.19531,0.00895,0.74631,0.66938,0.75412,0.46726,1.34699,1.22373,0.00999,0.00138644,0.00138644,0.00138644
19,1042.76,1.31971,1.12646,0.0087,0.72963,0.69111,0.76121,0.48132,1.34443,1.31466,0.01038,0.00136994,0.00136994,0.00136994
20,1097.22,1.3165,1.12953,0.00862,0.75897,0.68139,0.76051,0.49606,1.28932,1.26012,0.00962,0.00135344,0.00135344,0.00135344
21,1149.19,1.32022,1.12851,0.00878,0.73526,0.69696,0.74885,0.48865,1.29256,1.3397,0.0094,0.00133693,0.00133693,0.00133693
22,1204.12,1.29687,1.11069,0.00849,0.68667,0.67313,0.68279,0.4368,1.34754,1.51526,0.01026,0.00132043,0.00132043,0.00132043
23,1256.88,1.30792,1.10419,0.00865,0.77252,0.72369,0.78454,0.50991,1.26247,1.25822,0.00915,0.00130393,0.00130393,0.00130393
24,1311.1,1.27237,1.04599,0.00841,0.77611,0.71057,0.77841,0.51707,1.25523,1.27714,0.00913,0.00128742,0.00128742,0.00128742
25,1365.68,1.29036,1.07026,0.00827,0.74638,0.71113,0.75437,0.48899,1.25383,1.27803,0.00892,0.00127092,0.00127092,0.00127092
26,1418.43,1.26379,1.02816,0.00835,0.76221,0.72259,0.78842,0.52592,1.18325,1.1872,0.00835,0.00125442,0.00125442,0.00125442
27,1472.9,1.2652,1.00276,0.00829,0.77755,0.75136,0.81187,0.5578,1.22102,1.00414,0.00887,0.00123791,0.00123791,0.00123791
28,1526.12,1.25027,1.00553,0.00782,0.75403,0.72398,0.79091,0.53568,1.23547,1.16774,0.00912,0.00122141,0.00122141,0.00122141
29,1579.55,1.26004,0.96895,0.00826,0.78136,0.72033,0.79417,0.53926,1.2357,1.13094,0.00903,0.00120491,0.00120491,0.00120491
30,1632.06,1.26061,1.01355,0.00835,0.75262,0.76221,0.79923,0.54545,1.21093,1.18996,0.00859,0.0011884,0.0011884,0.0011884
31,1686.15,1.24789,0.96509,0.0082,0.79486,0.72243,0.80075,0.53876,1.23508,1.08277,0.00905,0.0011719,0.0011719,0.0011719
32,1740.02,1.23966,0.94887,0.00783,0.7903,0.7563,0.82502,0.55915,1.23882,1.237,0.00895,0.0011554,0.0011554,0.0011554
33,1792.65,1.23576,0.94971,0.00811,0.78252,0.7637,0.81956,0.56305,1.1801,1.1302,0.00842,0.00113889,0.00113889,0.00113889
34,1847.13,1.21391,0.92089,0.00768,0.79995,0.73508,0.8188,0.56029,1.20981,1.10145,0.00865,0.00112239,0.00112239,0.00112239
35,1900.16,1.23071,0.94074,0.00785,0.75332,0.76194,0.79656,0.53941,1.25065,1.09077,0.00898,0.00110589,0.00110589,0.00110589
36,1955.21,1.19195,0.90005,0.00769,0.8183,0.75852,0.82278,0.56352,1.22446,1.10442,0.00922,0.00108938,0.00108938,0.00108938
37,2008.53,1.22242,0.91096,0.00786,0.77604,0.77138,0.82148,0.56553,1.24855,1.15883,0.00913,0.00107288,0.00107288,0.00107288
38,2062.99,1.19002,0.86464,0.00736,0.82126,0.77381,0.83391,0.57638,1.25071,1.09335,0.00915,0.00105638,0.00105638,0.00105638
39,2116.43,1.16897,0.84105,0.00747,0.78793,0.75434,0.8113,0.55935,1.17783,1.18986,0.00848,0.00103987,0.00103987,0.00103987
40,2171.15,1.17824,0.87392,0.00761,0.79596,0.7511,0.82783,0.56705,1.19894,1.19308,0.00862,0.00102337,0.00102337,0.00102337
41,2225.78,1.16715,0.88145,0.0074,0.80761,0.77755,0.84521,0.59327,1.23154,1.03843,0.00914,0.00100687,0.00100687,0.00100687
42,2278.72,1.17448,0.85002,0.00748,0.78482,0.769,0.81661,0.57061,1.18601,1.13791,0.0083,0.000990365,0.000990365,0.000990365
43,2333.56,1.14882,0.83472,0.0074,0.80343,0.78025,0.83589,0.58441,1.16062,1.09439,0.00807,0.000973861,0.000973861,0.000973861
44,2386.04,1.15884,0.8116,0.00715,0.81923,0.76209,0.83764,0.58883,1.18695,1.08737,0.00843,0.000957358,0.000957358,0.000957358
45,2440.67,1.15737,0.82223,0.00726,0.8185,0.75322,0.83048,0.57972,1.16517,1.18412,0.008,0.000940855,0.000940855,0.000940855
46,2495.32,1.16502,0.8231,0.00707,0.82506,0.77119,0.84642,0.57883,1.22662,1.10763,0.00895,0.000924352,0.000924352,0.000924352
47,2547.74,1.1554,0.82511,0.00743,0.856,0.77632,0.85483,0.5986,1.18824,1.04299,0.00856,0.000907848,0.000907848,0.000907848
48,2601.79,1.15036,0.7864,0.00704,0.82165,0.7899,0.84885,0.59754,1.17273,0.98489,0.00842,0.000891345,0.000891345,0.000891345
49,2654.62,1.1598,0.81539,0.00726,0.80608,0.75734,0.83398,0.58595,1.16562,1.14758,0.00828,0.000874842,0.000874842,0.000874842
50,2709.12,1.11367,0.78522,0.00697,0.82764,0.75742,0.83043,0.5742,1.19473,1.08471,0.00843,0.000858338,0.000858338,0.000858338
51,2763.63,1.12794,0.75664,0.00688,0.81964,0.74408,0.82979,0.58482,1.14573,1.28088,0.00794,0.000841835,0.000841835,0.000841835
52,2816.25,1.12576,0.77274,0.00698,0.82862,0.76296,0.84828,0.5943,1.14524,1.15677,0.00822,0.000825332,0.000825332,0.000825332
53,2870.15,1.10634,0.76218,0.00692,0.81025,0.77825,0.84324,0.60062,1.12467,1.11481,0.00769,0.000808828,0.000808828,0.000808828
54,2923.14,1.13475,0.75758,0.00685,0.82372,0.79402,0.85557,0.60712,1.14734,0.9607,0.00819,0.000792325,0.000792325,0.000792325
55,2977.85,1.12207,0.74114,0.00683,0.78389,0.80318,0.83787,0.60553,1.19192,1.13779,0.00848,0.000775822,0.000775822,0.000775822
56,3030.22,1.10179,0.72885,0.00671,0.83491,0.80131,0.86811,0.61405,1.15322,1.04684,0.0079,0.000759318,0.000759318,0.000759318
57,3084.02,1.09507,0.69942,0.00658,0.81758,0.77568,0.85408,0.61244,1.16904,1.05981,0.00813,0.000742815,0.000742815,0.000742815
